x,y
1,62
2,150
3,93
4,78
5,250
6,238
7,240
8,566
9,342
10,466
11,587
12,769
13,778
14,1247
15,1492
16,1797
17,977
18,2313
19,2651
20,2547
21,3497
22,3590
23,3233
24,3526
25,4207
26,5322
27,5986
28,6557
29,5560
30,4789
31,5249
32,5210
33,6153
34,5959
35,5974
36,5217
37,4050
38,4053
39,4782
40,4668
41,4585
42,4805
43,4316
44,3599
45,3039
46,3836
47,4204
48,3951
49,4694
50,4092
51,3153
52,2972
53,2667
54,3786
55,3493
56,3491
57,3047
58,2256
59,2729
60,3370
61,2646
62,3021
63,2357
64,2324
65,1739
66,2091
