month,amount
1,178.1644376
2,137.0337767
3,113.0010967
4,96.47736746
5,168.4545726
6,178.5402435
7,138.8056723
8,115.9658836
9,
10,
11,197.8448237
12,270.6516078
13,209.5211034
14,176.5276612
15,125.6194417
16,124.317045
17,176.8206901
18,242.6673392
19,132.4636836
20,98.008206
21,
22,
23,
24,291.5311541
25,216.5992421
26,149.8728487
27,124.5142939
28,178.1984893
29,227.0433005
30,236.9233618
31,163.118887
32,130.7327173
33,196.1112749
34,225.0454341
35,
36,330.0920514
37,221.0962043
38,137.4116726
39,124.0984782
40,146.6433795
41,222.3005412
42,215.8294673
43,158.5018449
44,97.65865517
45,163.1206569
46,156.8952662
47,317.5620851
48,330.6434934
49,
50,
51,121.6763265
52,144.0250072
53,191.7807403
54,210.8964761
55,152.9125011
56,136.6506373
57,219.9946593
58,203.933197
59,256.8046538
60,317.3214017
61,198.0303783
62,160.3747586
63,
64,
65,
66,193.1176391
67,193.992058
68,98.54569252
69,209.9001336
70,187.1856225
71,311.8355013
72,348.2288886
73,258.7300857
74,189.0758897
75,140.1364042
76,
77,
78,
79,202.7236341
80,65.98971753
81,188.3963897
82,233.0402908
83,277.102456
84,
85,262.3589037
86,196.7549931
87,145.2614588
88,
89,288.0734202
90,301.7612755
91,223.7354204
92,
93,243.5224348
94,256.1324629
95,367.642702
96,419.6775129
97,242.4022806
98,207.9447134
99,
100,
101,302.652511
102,343.9088946
103,214.573929
104,179.8869809
105,305.065008
106,345.5447295
107,428.9168312
108,559.0240895
109,362.5581849
110,
111,
112,
113,
114,398.4624711
115,278.432058
116,184.692482
117,337.3390996
118,397.0596398
119,513.7022424
120,647.7485985
121,
122,330.4609331
123,251.868446
124,331.094873
125,389.3451579
126,
127,318.3666656
128,283.149936
129,
130,482.4728364
131,655.2656379
132,746.2832026
133,507.3369239
134,390.2433616
135,292.47627
136,373.7262631
137,477.1542853
138,543.9432208
139,360.7932947
140,
141,
142,577.1777936
143,727.0893302
144,758.668801
145,580.4961392
146,377.6497148
147,343.4030508
148,404.8111325
149,590.6801976
150,667.0415872
151,461.8490084
152,275.9663425
153,
154,
155,
156,917.7505594
157,645.678669
158,
159,361.5124517
160,400.7319445
161,
162,660.0812107
163,461.568274
164,328.0668118
165,534.5564593
166,624.9433044
167,816.2894548
168,935.6625284
169,567.9226727
170,498.135341
171,415.3914044
172,
173,742.4618275
174,829.0091508
175,309.2463958
176,304.8386404
177,551.4846106
178,640.0297093
179,734.6858702
180,828.5898389
181,718.8589192
182,467.0063486
183,374.3836709
184,454.1100785
185,622.4654325
186,712.3765204
187,496.2368499
188,317.3416967
189,559.655897
190,
191,843.990796
192,960.9198167
193,684.7528186
194,492.6180395
195,374.7491099
196,478.9250502
197,619.140424
198,744.6436458
199,491.2788882
200,
201,513.8313055
202,652.1435507
203,825.0723992
204,946.8096846
205,667.812351
206,523.582892
207,392.059047
208,442.8656381
209,
210,
211,
212,300.3194992
213,535.1956745
214,634.2397205
215,906.3520555
216,1035.44711
217,722.9520609
218,524.5650201
219,367.1480101
220,486.7057889
221,670.6165552
222,
223,549.1339751
224,398.1950016
225,
226,720.2305377
227,915.4583356
228,1093.126256
229,784.4613632
230,600.6813114
231,389.2850732
232,564.5674997
233,686.1378523
234,845.0475256
235,601.1977246
236,380.2702008
237,668.5738191
238,789.190548
239,
240,1216.712654
241,839.5469343
242,631.4510535
243,490.9568222
244,601.3172234
245,857.2599248
246,966.9883227
247,705.5901891
248,462.474665
249,
250,943.6613593
251,1238.731043
252,1388.818448
